Sample_name	Species	Read_1	Read_2
Ent_0277	E_faecalis	E_faecalis_368/all_reads/Ent_0277_1.fastq.gz	E_faecalis_368/all_reads/Ent_0277_2.fastq.gz
EntR_0146	E_faecalis	E_faecalis_368/all_reads/EntR_0146_1.fastq.gz	E_faecalis_368/all_reads/EntR_0146_2.fastq.gz
EntR_0171	E_faecalis	E_faecalis_368/all_reads/EntR_0171_1.fastq.gz	E_faecalis_368/all_reads/EntR_0171_2.fastq.gz
EntR_0190	E_faecalis	E_faecalis_368/all_reads/EntR_0190_1.fastq.gz	E_faecalis_368/all_reads/EntR_0190_2.fastq.gz
ES-A-FC103-19OCT15-0630A	E_faecalis	E_faecalis_368/all_reads/ES-A-FC103-19OCT15-0630A_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC103-19OCT15-0630A_2.fastq.gz
ES-A-FC107-23FEB16-0797A	E_faecalis	E_faecalis_368/all_reads/ES-A-FC107-23FEB16-0797A_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC107-23FEB16-0797A_2.fastq.gz
ES-A-FC107-23FEB16-0797C	E_faecalis	E_faecalis_368/all_reads/ES-A-FC107-23FEB16-0797C_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC107-23FEB16-0797C_2.fastq.gz
ES-A-FC201-20OCT14-0203C	E_faecalis	E_faecalis_368/all_reads/ES-A-FC201-20OCT14-0203C_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC201-20OCT14-0203C_2.fastq.gz
ES-A-FC208-23FEB16-0800A	E_faecalis	E_faecalis_368/all_reads/ES-A-FC208-23FEB16-0800A_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC208-23FEB16-0800A_2.fastq.gz
ES-A-FC303-10AUG15-0566I	E_faecalis	E_faecalis_368/all_reads/ES-A-FC303-10AUG15-0566I_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC303-10AUG15-0566I_2.fastq.gz
ES-A-FC304-08JUN15-0497J	E_faecalis	E_faecalis_368/all_reads/ES-A-FC304-08JUN15-0497J_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC304-08JUN15-0497J_2.fastq.gz
ES-A-FC501-20OCT14-0211C	E_faecalis	E_faecalis_368/all_reads/ES-A-FC501-20OCT14-0211C_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC501-20OCT14-0211C_2.fastq.gz
ES-A-FC501-20OCT14-0211K	E_faecalis	E_faecalis_368/all_reads/ES-A-FC501-20OCT14-0211K_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC501-20OCT14-0211K_2.fastq.gz
